timestamp, p_x, p_y,p_z, q_x, q_y,q_z, q_w
DJI_0251.JPG,25.516562,-19.013475,-15.133046,-0.808525,-0.359684,0.188660,0.425820
DJI_0252.JPG,18.448705,-20.272404,-15.229928,-0.867237,-0.169494,0.090326,0.459362
DJI_0253.JPG,17.702184,-20.693192,-15.054637,-0.805344,-0.368697,0.186781,0.424967
DJI_0254.JPG,17.708143,-20.741153,-17.986905,-0.803749,-0.371460,0.188874,0.424654
DJI_0255.JPG,17.680546,-20.761967,-20.299299,-0.802864,-0.372553,0.190196,0.424781
DJI_0256.JPG,17.658287,-20.720000,-22.337429,-0.802469,-0.373365,0.190984,0.424462
DJI_0257.JPG,17.671093,-20.659866,-24.602493,-0.802239,-0.374003,0.191316,0.424184
DJI_0258.JPG,17.312594,-20.881209,-27.851158,-0.801643,-0.375844,0.191987,0.423380
DJI_0259.JPG,17.209112,-20.734590,-28.904529,-0.762677,-0.358196,0.227389,0.488174
DJI_0315.JPG,19.872051,-48.286598,15.674462,-0.915481,-0.374896,0.044710,0.139099
DJI_0316.JPG,15.624789,-42.548199,15.778480,-0.910682,-0.386588,0.048645,0.137262
DJI_0317.JPG,9.624821,-35.977403,15.877710,-0.910805,-0.386333,0.051366,0.136169
DJI_0318.JPG,3.779971,-30.054516,15.775519,-0.911289,-0.385378,0.053293,0.134893
DJI_0319.JPG,-1.790400,-24.362742,15.787088,-0.911752,-0.384187,0.054938,0.134499
DJI_0320.JPG,-6.968339,-18.909840,15.971795,-0.911195,-0.385117,0.056488,0.134971
DJI_0321.JPG,-12.689744,-13.044222,16.026862,-0.911188,-0.384909,0.057531,0.135169
DJI_0322.JPG,-18.426686,-7.323449,16.083920,-0.911330,-0.384415,0.058202,0.135332
DJI_0323.JPG,-24.007755,-1.640785,16.111168,-0.911317,-0.384213,0.058325,0.135938
